single_or_double,pretty_formula,band_gap,formation_energy_per_atom,volume,A_site_electronegativity,B1_site_electronegativity,B2_site_electronegativity,X_site_electronegativity,A_site_weight,B1_site_weight,B2_site_weight,X_site_weight,A_site_affinity,B1_site_affinity,B2_site_affinity,X_site_affinity,A_site_fir_ionization_energy,B1_site_fir_ionization_energy,B2_site_fir_ionization_energy,X_site_fir_ionization_energy,tolerance_factor,octahedral_factor,(u+t)n,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,H fraction,He fraction,Li fraction,Be fraction,B fraction,C fraction,N fraction,O fraction,F fraction,Ne fraction,Na fraction,Mg fraction,Al fraction,Si fraction,P fraction,S fraction,Cl fraction,Ar fraction,K fraction,Ca fraction,Sc fraction,Ti fraction,V fraction,Cr fraction,Mn fraction,Fe fraction,Co fraction,Ni fraction,Cu fraction,Zn fraction,Ga fraction,Ge fraction,As fraction,Se fraction,Br fraction,Kr fraction,Rb fraction,Sr fraction,Y fraction,Zr fraction,Nb fraction,Mo fraction,Tc fraction,Ru fraction,Rh fraction,Pd fraction,Ag fraction,Cd fraction,In fraction,Sn fraction,Sb fraction,Te fraction,I fraction,Xe fraction,Cs fraction,Ba fraction,La fraction,Ce fraction,Pr fraction,Nd fraction,Pm fraction,Sm fraction,Eu fraction,Gd fraction,Tb fraction,Dy fraction,Ho fraction,Er fraction,Tm fraction,Yb fraction,Lu fraction,Hf fraction,Ta fraction,W fraction,Re fraction,Os fraction,Ir fraction,Pt fraction,Au fraction,Hg fraction,Tl fraction,Pb fraction,Bi fraction,Po fraction,At fraction,Rn fraction,Fr fraction,Ra fraction,Ac fraction,Th fraction,Pa fraction,U fraction,Np fraction,Pu fraction,Am fraction,Cm fraction,Bk fraction,Cf fraction,Es fraction,Fm fraction,Md fraction,No fraction,Lr fraction,mean AtomicWeight,mean Column,mean Row,range Number,mean Number,range AtomicRadius,mean AtomicRadius,range Electronegativity,mean Electronegativity,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,transition metal fraction,band center,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state,avg anion electron affinity,minimum EN difference,maximum EN difference,range EN difference,mean EN difference,std_dev EN difference,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010,cohesive energy (MP)
1,EuFeO3,0,-2.517135216,119.2222786,1.2,3.66,0,3.44,151.964,111.69,0,15.999,0.52,0.326,0,1.46,5.67,15.806,0,13.618,0.851066469,0.547619048,1.09391091,8,63,55,22.6,17.52,8,25,87,62,68.2,22.56,87,15.9994,151.964,135.9646,51.16144,42.194448,15.9994,54.8,1811,1756.2,614.08,671.136,54.8,3,16,13,11.8,5.04,16,2,6,4,3.2,1.44,2,66,198,132,105.6,47.52,66,1.185,3.44,2.255,2.667,0.9276,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,6,6,1.2,1.92,0,0,7,7,1.4,2.24,0,6,9,3,7,1.2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,4,4,0.8,1.28,0,0,7,7,1.4,2.24,0,2,7,5,3.4,1.68,2,9.105,36.46,27.355,14.901,8.6236,9.105,0,0,0,0,0,0,0,2.1106628,2.1106628,0.42213256,0.675412096,0,12,229,217,98.8,104.16,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.16144,11.8,3.2,55,22.6,1.25,1.01,2.255,2.667,2,2.4,1.2,1.4,0.285714286,0.342857143,0.171428571,0.2,0.2,5.567500381,-2,3,5,3.273268354,-282000,1.61,2.24,0.63,1.925,0.445477272,0.044019499,0.070334978,0.091190781,5.87109243
1,CaVO3,0,-2.838376798,56.19975561,1,3.26,0,3.44,40.078,101.483,0,15.999,0.0246,1.048,0,1.46,6.113,13.492,0,13.618,0.857099129,0.571428571,1.232231753,8,23,15,13.4,6.48,8,7,87,80,62.8,29.04,87,15.9994,50.9415,34.9421,27.80354,14.164968,15.9994,54.8,2183,2128.2,692.48,765.216,54.8,2,16,14,11,6,16,2,4,2,2.8,0.96,2,66,176,110,105.4,47.28,66,1,3.44,2.44,2.59,1.02,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,3,3,0.6,0.96,0,0,0,0,0,0,0,2,6,4,5,1.2,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,7,7,1.4,2.24,0,0,0,0,0,0,0,0,7,7,2.6,1.76,2,9.105,37.77,28.665,15.619,8.8604,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,98,103.2,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.80354,11,2.8,15,13.4,1.2,0.99,2.44,2.59,2,2.4,0.6,0,0.4,0.48,0.12,0,0.2,5.444116514,-2,4,6,3.380617019,-282000,1.81,2.44,0.63,2.125,0.445477272,0.05367389,0.067718767,0.088852998,6.451641219
1,HgRhO3,0,-0.591591965,62.60416052,2,4.56,0,3.44,200.59,205.8,0,15.999,0,2.274,0,1.46,10.438,14.918,0,13.618,0.855599205,0.587301587,1.215866924,8,80,72,29.8,26.16,8,59,87,28,78.2,10.56,87,15.9994,200.59,184.5906,70.29874,65.159208,15.9994,54.8,2237,2182.2,527.144,683.9424,54.8,9,16,7,13.8,2.64,16,2,6,4,3.4,1.68,2,66,142,76,94.4,34.08,66,2,3.44,1.44,2.92,0.624,3.44,1,2,1,1.8,0.32,2,0,4,4,2.4,1.92,4,0,10,10,3.6,4.32,0,0,14,14,2.8,4.48,0,6,26,20,10.6,6.16,6,0,1,1,0.2,0.32,0,0,2,2,1.2,0.96,2,0,2,2,0.4,0.64,0,0,0,0,0,0,0,0,3,3,1.8,0.72,2,9.105,25.23758621,16.13258621,13.23851724,4.96022069,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,85.4,88.08,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.29874,13.8,3.4,72,29.8,0.9,0.93,1.44,2.92,1.8,2.4,3.6,2.8,0.169811321,0.226415094,0.339622642,0.264150943,0.2,6.260368842,-2,4,6,3.380617019,-282000,1.16,1.44,0.28,1.3,0.197989899,0.020412415,0.032724665,0.043420699,3.863011364
1,CaGeO3,0.5743,-2.59071794,54.14902551,1,4.02,0,3.44,40.078,145.26,0,15.999,0.0246,2.46,0,1.46,6.113,15.8,0,13.618,0.879303769,0.531746032,1.230380889,8,32,24,15.2,8.64,8,7,87,80,69.4,24.96,87,15.9994,72.64,56.6406,32.14324,19.372608,15.9994,54.8,1211.4,1156.6,498.16,532.032,54.8,2,16,14,12.8,4.32,16,2,4,2,2.8,0.96,2,66,176,110,98.8,39.36,66,1,3.44,2.44,2.666,0.9288,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2,3.2,0,0,0,0,0,0,0,2,14,12,6.8,2.88,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,37.77,28.665,17.618,10.2156,9.105,0,0.383,0.383,0.0766,0.12256,0,0,0,0,0,0,0,12,225,213,97.2,102.24,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14324,12.8,2.8,24,15.2,1.2,0.97,2.44,2.666,2,2.8,2,0,0.294117647,0.411764706,0.294117647,0,0,5.697929322,-2,4,6,3.380617019,-282000,1.43,2.44,1.01,1.935,0.714177849,0.057635053,0.078228114,0.0961017,5.930177485
1,SrMnO3,0,-2.462435511,231.649383,0.95,3.1,0,3.44,87.62,109.876,0,15.999,0.0521,0,0,1.46,5.695,14.868,0,13.618,0.945251552,0.531746032,1.062541247,8,38,30,17.4,11.28,8,8,87,79,64.2,27.36,87,15.9994,87.62,71.6206,38.111249,26.5342188,15.9994,54.8,1519,1464.2,546.68,590.256,54.8,2,16,14,11.4,5.52,16,2,5,3,3,1.2,2,66,195,129,106.4,48.48,66,0.95,3.44,2.49,2.564,1.0512,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,54.23,45.125,18.40651724,14.3293931,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,0.000062,0.0000992,0,12,225,213,95.6,100.32,12,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.111249,11.4,3,30,17.4,1.4,1.04,2.49,2.564,2,2.4,1,0,0.37037037,0.444444444,0.185185185,0,0.2,5.397066525,-2,4,6,3.380617019,-282000,1.89,2.49,0.6,2.19,0.424264069,0.05367389,0.09057659,0.105761434,5.640091141
1,MgSiO3,4.6421,-3.217499272,874.8657585,1.31,3.8,0,3.44,24.305,56.17,0,15.999,0,2.77,0,1.46,7.646,16.302,0,13.618,0.832814653,0.428571429,1.007582959,8,14,6,10,2.4,8,68,87,19,81.4,6.72,87,15.9994,28.0855,12.0861,20.07774,4.894008,15.9994,54.8,1687,1632.2,554.88,600.096,54.8,2,16,14,12.8,4.32,16,2,3,1,2.4,0.48,2,66,141,75,90,28.8,66,1.31,3.44,2.13,2.706,0.8808,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4.8,1.44,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,22.89,13.785,14.129,6.0288,9.105,0,0.773,0.773,0.1546,0.24736,0,0,0,0,0,0,0,12,227,215,91.4,95.28,12,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07774,12.8,2.4,6,10,0.9,0.88,2.13,2.706,2,2.8,0,0,0.416666667,0.583333333,0,0,0,6.005864901,-2,4,6,3.380617019,-282000,1.54,2.13,0.59,1.835,0.417193001,0.044019499,0.079992893,0.096486019,6.498786835
1,MgSiO3,4.5985,-3.216567703,889.7182633,1.31,3.8,0,3.44,24.305,56.17,0,15.999,0,2.77,0,1.46,7.646,16.302,0,13.618,0.832814653,0.428571429,1.007455902,8,14,6,10,2.4,8,68,87,19,81.4,6.72,87,15.9994,28.0855,12.0861,20.07774,4.894008,15.9994,54.8,1687,1632.2,554.88,600.096,54.8,2,16,14,12.8,4.32,16,2,3,1,2.4,0.48,2,66,141,75,90,28.8,66,1.31,3.44,2.13,2.706,0.8808,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,4.8,1.44,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,22.89,13.785,14.129,6.0288,9.105,0,0.773,0.773,0.1546,0.24736,0,0,0,0,0,0,0,12,227,215,91.4,95.28,12,0,0,0,0,0,0,0,0.6,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07774,12.8,2.4,6,10,0.9,0.88,2.13,2.706,2,2.8,0,0,0.416666667,0.583333333,0,0,0,6.005864901,-2,4,6,3.380617019,-282000,1.54,2.13,0.59,1.835,0.417193001,0.044019499,0.079992893,0.096486019,6.498786835
1,KCuCl3,0,-1.437575059,114.68408,0.82,3.8,0,3.16,39.0983,127.092,0,35.45,0.502,2.454,0,3.62,4.341,15.454,0,12.968,0.888059304,0.520958084,1.25510525,17,29,12,19.8,3.68,17,3,94,91,69.8,29.04,94,35.453,63.546,28.093,41.80066,8.698136,35.453,171.6,1357.77,1186.17,441.82,366.38,171.6,1,17,16,12.6,5.28,17,3,4,1,3.4,0.48,3,102,203,101,128.2,31.44,102,0.82,3.16,2.34,2.44,0.864,3.16,1,2,1,1.6,0.48,2,0,5,5,3,2.4,5,0,10,10,2,3.2,0,0,0,0,0,0,0,1,11,10,6.6,2.24,7,0,1,1,0.4,0.48,0,0,1,1,0.6,0.48,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,11.07,73.10666667,62.03666667,31.53383333,16.62913333,24.4975,0,2.493,2.493,1.4958,1.19664,2.493,0,0,0,0,0,0,64,229,165,129.2,78.24,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.80066,12.6,3.4,12,19.8,1.2,1.31,2.34,2.44,1.6,3,2,0,0.242424242,0.454545455,0.303030303,0,0.2,5.731001615,-1,2,3,1.690308509,-349000,1.26,2.34,1.08,1.8,0.763675324,0.77172246,0.784106748,0.800789401,3.293219407
1,ZrBRh3,0,-0.753426034,71.51471697,1.33,4.08,0,2.28,91.224,21.62,0,102.9,0.426,0.554,0,1.137,6.634,16.596,0,7.459,0.913487229,0.672,1.292368653,5,45,40,36,12.4,45,44,72,28,58.6,5.84,59,10.811,102.9055,92.0945,82.1503,28.53572,102.9055,2128,2348,220,2237.4,44.24,2237,4,13,9,8.8,1.92,9,2,5,3,4.4,0.96,5,84,175,91,137,21.2,142,1.33,2.28,0.95,2.042,0.2856,2.28,1,2,1,1.4,0.48,1,0,1,1,0.2,0.32,0,0,8,8,5.2,3.36,8,0,0,0,0,0,0,3,9,6,6.8,2.64,9,0,1,1,0.6,0.48,1,0,5,5,1,1.6,0,0,8,8,2.8,2.08,2,0,0,0,0,0,0,3,8,5,4.4,1.68,3,7.1725,23.195,16.0225,14.2575,3.575,13.64,0,1.524,1.524,0.3048,0.48768,0,0,0,0,0,0,0,166,225,59,207,21.6,225,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.1503,8.8,4.4,40,36,0.7,1.29,0.95,2.042,1.4,0.2,5.2,0,0.205882353,0.029411765,0.764705882,0,0.6,4.130272073,0,0,0,0,-52050,-0.002866667,0.4206,0.0001,0.152266667,0,0.054433105,0.076787889,0.088560435,6.924779678
1,ThTaN3,0.4422,-1.461376527,67.14306907,1.3,3,0,3.04,232.03,361.88,0,14.007,0.423712435,0.64,0,0.07,6.08,15.78,0,14.534,0.808122036,0.590909091,1.198257464,7,90,83,36.8,35.76,7,16,82,66,62,24,82,14.0067,232.03806,218.03136,91.001208,92.3934096,14.0067,63.05,3290,3226.95,1100.43,1244.856,63.05,3,15,12,10.6,5.28,15,2,7,5,3.8,2.16,2,71,206,135,117.8,56.16,71,1.3,3.04,1.74,2.384,0.7872,3.04,2,2,0,2,0,2,0,3,3,1.8,1.44,3,0,3,3,1,1.2,0,0,14,14,2.8,4.48,0,4,19,15,7.6,4.56,5,0,0,0,0,0,0,0,3,3,1.8,1.44,3,0,8,8,3,3.6,0,0,0,0,0,0,0,3,8,5,4.8,2.16,3,14.76875,32.37,17.60125,18.95925,5.3643,14.76875,0,6.437,6.437,3.8622,3.08976,6.437,0,0,0,0,0,0,194,229,35,207.2,15.84,194,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,91.001208,10.6,3.8,83,36.8,1.15,1.04,1.74,2.384,2,1.8,1,2.8,0.263157895,0.236842105,0.131578947,0.368421053,0.2,5.654527111,-3,5,8,4.928053803,-21000,1.54,1.74,0.2,1.64,0.141421356,1.05E-08,0.037000553,0.048970071,7.832812194
